Name,Image,Team,Batting_Style,Bowling_Style,Playing_Role
MS Dhoni,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoUZ19Rp-FlEg02UhKOqBUiBRT1J4InZ3_vLWAGHiAYImdt0LDB_SQu6CEjw&s,Chennai Super Kings ,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Akash Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxygF56_6U0g6Bs02tXLSFAPduLWVpN-tgjSjEohCCX_ew0ITiNbQ6BgYrqho&s,Chennai Super Kings ,Right hand Bat,Left arm Medium fast,Bowler
Moeen Ali,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUgB7zsseKFmrZnwAPEYkjtzO3KHoTQBUclu1F0-HojP6EPf_dLkK0DdUULQ&s,Chennai Super Kings ,Left hand Bat,Right arm Offbreak,Batting Allrounder
Bhagath Varma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFm5pX5kmdsIlGFs9wT9ZuxZ2U3JZgvq8mVck1mittefdIioocRrtVStScssQ&s,Chennai Super Kings ,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Deepak Chahar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd7nOMtZsKHBouCTif2g5ItkWy0twWeANvFcWF3xTpUi-yOctMajwKHLWC6w&s,Chennai Super Kings ,Right hand Bat,Right arm Medium,Bowler
Devon Conway,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYwDp9v5sCvRC3mrAgjI_b9VQqZoYeHD1iKJs16WfM8xCELrMe8zZyxgn6SA&s,Chennai Super Kings ,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Tushar Deshpande,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkYha8ILoYCTbIEuIgktHR4-pmK7oZQPK98jPpcWVyKOiPMdwtFi2bWCo6n2k&s,Chennai Super Kings ,Left hand Bat,Right arm Medium,Bowler
Shivam Dube,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLf4OVxLeAdqpjfdX9igGMZfOCNlmLv_bfReqb9W2YNJOfHjnZQmnkleM7yQ&s,Chennai Super Kings ,Left hand Bat,Right arm Medium,Allrounder
Ruturaj Gaikwad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSk3X_RXqME6LLCV8s9f5XFVNKzS81oA8-Yu9Uv5yHFI4_JnOtRAo1Gzb4G1w&s,Chennai Super Kings ,Right hand Bat,Right arm Offbreak,Batter
Rajvardhan Hangargekar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGIYLJhwMAKrbdfi45Lb7DrpU7Z5hI6sM4NlN9k34UKgfP1xcv4EcHzcvLLjM&s,Chennai Super Kings ,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Ravindra Jadeja,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPazZ4pv_FlZ4aw9iuZUemsIwdoy1B1cLwewr0SSnRA3DLQtTfCLgacXhGEw&s,Chennai Super Kings ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Sisanda Magala,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_oRg5aLCB_4581LzZkUALUYHT_GZRrrtqD-GM09YJfiFa40u2i3cW4J07Lw&s,Chennai Super Kings ,Right hand Bat,Right arm Fast medium,Bowler
Ajay Mandal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjM7ks1dfJsJfLfJPCKknZRITy1LBi1-KYynltZvzF6umma-LD9WzIemj079Y&s,Chennai Super Kings ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Matheesha Pathirana,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR09Dha2x5fGxjPie962X5r7rAImxwhxqngXdKVTq3EixGr7jlVFXDWeKD4Dw&s,Chennai Super Kings ,Right hand Bat,Right arm Fast,Bowler
Dwaine Pretorius,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3TYvtHW0sKpbMs7GWJWMYSFACv6xDrmd6c1n_8h4ngr0xtQYq6Zi3oTksT2k&s,Chennai Super Kings ,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Ajinkya Rahane,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIxXNInTFQsSIpWStddGJtH5ICg01ldUuxQo8VjIBnjm3yRIsHkED1YqgiIg&s,Chennai Super Kings ,Right hand Bat,Right arm Medium,Top order Batter
Shaik Rasheed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGYbqcFW3XRUYBPW6FZtLLiSsRjrBYvczdyXceXAsqhYoWxdmdSyzQOTgjnxc&s,Chennai Super Kings ,Right hand Bat,Legbreak,Batter
Ambati Rayudu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFEAq_NEAEW6z0EJHWqex3sNpZsqKgId1jO8odWIffuA7Hwg3fgFQFCtb9e64&s,Chennai Super Kings ,Right hand Bat,Right arm Offbreak,Middle order Batter
Mitchell Santner,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTavHIqWJgXdulqEaLzNZpWUqU1RMGHfJRy-ajTW-r6kRntZpmiUlXmK7Upbug&s,Chennai Super Kings ,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Subhranshu Senapati,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTELU3jXYpFvK9ZXWf0RWkB0CVdNXb2vysbIZKMoaEe1cF0JqfB65Ufscr0Jmc&s,Chennai Super Kings ,Right hand Bat,Right arm Medium,Top order Batter
Simarjeet Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeTfm7stJ94gyp7D-4LcKVmnYxdF-B9yp-ld64NVgEthwH7EdfD4C2URKKkjA&s,Chennai Super Kings ,Right hand Bat,Right arm Medium fast,Bowler
Nishant Sindhu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTglvTJg12wSTBLDSw27rXeNOP8hNgP0bs6_YLZatCGsHSLRi-7tJZjxY0pRgU&s,Chennai Super Kings ,Left hand Bat,Slow Left arm Orthodox,Allrounder
Prashant Solanki,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ54uriaPjkB15JPofB5juLsTDvwQSRMDjk5d3mk740RiZgFxQ1svbJDcyEa8E&s,Chennai Super Kings ,Right hand Bat,Legbreak,Bowler
Ben Stokes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMTrTWy_z5Jnn7TayXcSaR6AcjXPNKawQJTIUDrfeZApfspRNmFsP4v6BQ6EQ&s,Chennai Super Kings ,Left hand Bat,Right arm Fast medium,Allrounder
Maheesh Theekshana,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWscp7E9lMK88e94KSB-Mk_D0W-sd-4OZqgk2bs_9z6qjNl6NECoybMgATp-c&s,Chennai Super Kings ,Right hand Bat,Right arm Offbreak,Bowler
Kyle Jamieson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-_sOHgCdhWBhg6byo-CZIgcWWkLD8TwM_5NponBjFaRSOZWppCwrIY4ApE3E&s,Chennai Super Kings ,Right hand Bat,Right arm Fast medium,Bowler
Mukesh Choudhary,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSP8YChxUcWamizy76RNPDgTKCyMT7VOVG_E_S224_ZIma4WocZ_bN0bAK4qzE&s,Chennai Super Kings ,Left hand Bat,Left arm Medium,Bowler
David Warner,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj9hvdo9RD8rA6FXEdGfC_XCMJfkO6aN9zsRS_1pRxHmKLwnz50_DANtBUkw&s,Delhi Capitals ,Left hand Bat,Legbreak,Opening Batter
Abishek Porel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSQykVrAq9OjwvyK3f7kmS5u2LW5ZpD6T0sQT_XlEtz2f8ru_XGRs_v09yFA&s,Delhi Capitals ,Left hand Bat,,Wicketkeeper Batter
Khaleel Ahmed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC5SsG9DJ5NGJJv4j27uTjDiOGvLXqcJFNOa8FX5Dvvgx2q8_o0ewGBcmvdQ&s,Delhi Capitals ,Right hand Bat,Left arm Medium,Bowler
Aman Hakim Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZcv3JDBgBXsrCW3cB7T6n5xr5yWwP8cuBQ3U-vyL6QwPggDWF6VjPOANpOso&s,Delhi Capitals ,Right hand Bat,Right arm Medium,Allrounder
Yash Dhull,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVcHGFmYm-mHfVAElC5ajPkfW10V5H9D0Pkrys5AKoOY08gm0x9bBC8WZ-o0g&s,Delhi Capitals ,Right hand Bat,Right arm Offbreak,Top order Batter
Praveen Dubey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj7wmhO6LvQ1AuiJo34YunOSjPJ7XHK49VCv0bBP1EWrdwfAQF_jmLxhaAtZE&s,Delhi Capitals ,Right hand Bat,Legbreak Googly,Bowler
Priyam Garg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsHW2zRgSIQ98_808UvNz9SSie7fMHd6ECjzFcMzIj3mBO9xgICoKjCuLPDbY&s,Delhi Capitals ,Right hand Bat,Right arm Medium,Top order Batter
Sarfaraz Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdfdA2HDAhE2kw9q_wIojU0818LODVjifT-Lk3zvHNuC_SZQ2KYIpy9L4tTw&s,Delhi Capitals ,Right hand Bat,Legbreak,Middle order Batter
Kuldeep Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLfTWXzRV-ZfPFMFBfrURzNhMN6HEsV9vKDZ8m2y1577h4jKqHO633aLNt7A&s,Delhi Capitals ,Left hand Bat,Left arm Wrist spin,Bowler
Lalit Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT60ZZT_hLK3DknKjf4T2vYX5MeYljz98tHzR2-QzfUbvg4GwHQCGfRvKYuOBQ&s,Delhi Capitals ,Right hand Bat,Right arm Offbreak,Allrounder
Mitchell Marsh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwIe7JkBLuBceA2amR-4Eo03vcSggXBtFhUIfIjXeluAglEiHQUuJpfI5utA&s,Delhi Capitals ,Right hand Bat,Right arm Medium,Allrounder
Mukesh Kumar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWMVAoNBDN_MkAfejALlmmygQ5lv4Ux3iJ2dxVR_fSmWdwaOVhwR_U6nsIDXM&s,Delhi Capitals ,Right hand Bat,Right arm Medium,Bowler
Mustafizur Rahman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVb0f0IkmRgvyZCZ_lVhjQw6Uwoagdc7GcQgdhiyvVm9QuHgEZyGBNn5wSUYw&s,Delhi Capitals ,Left hand Bat,Left arm Fast medium,Bowler
Lungi Ngidi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyu-AM-9s0L9S0yROhQ1rFeDcxbFrqbjafrtfdJelI0XMduLqGsdU9nOcMTw&s,Delhi Capitals ,Right hand Bat,Right arm Fast medium,Bowler
Anrich Nortje,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt1yk_O4mFJafcf-SjXIj47mqR58wO-pml9slvk-0z67FPJ1DQc9xFJBa9OA&s,Delhi Capitals ,Right hand Bat,Right arm Fast,Bowler
Vicky Ostwal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTkAU_xXKRNL0q9wTjjtn7UjDUrQTK_wzjxkVVYMSnO9MLxTFF00esjdKxea8&s,Delhi Capitals ,Right hand Bat,Slow Left arm Orthodox,Bowler
Manish Pandey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtgh8bbe93cWll3p4pvCBmW67seowHHYFqNIYNJeMFrLd-TRyV8is8RYkXFfE&s,Delhi Capitals ,Right hand Bat,Right arm Medium,Top order Batter
Ripal Patel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIQ-mFdphYeHDTSD81sBbdjuBFcxd_opCY80K7kN_Vdnf7aFgOnjGzVhzjfw&s,Delhi Capitals ,Right hand Bat,Right arm Medium fast,Middle order Batter
Axar Patel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb0B1__RFh2AcLUb5tJCbGXW2hwmsop4G9WeNbzoWfyoK86_BAmEDhboKTxg&s,Delhi Capitals ,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Rovman Powell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNxwUfPN0Scy7VPPooCYIj-byo8Vrdz0rN5Au7j_S-hXKGb733WBcsCfkYXw&s,Delhi Capitals ,Right hand Bat,Right arm Medium fast,Middle order Batter
Rilee Rossouw,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDVYIkoYrYk0S5t2ihIvQzcpUQfogioV9rB6VBu_xG43gzK6zx09Bd4elFpQ&s,Delhi Capitals ,Left hand Bat,Right arm Offbreak,Top order Batter
Chetan Sakariya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9om51UjDZRu-uwYgl_7g8y_24zjmC2j4n6Cvjka1sf1w6-kXqDzUDp-SGQvs&s,Delhi Capitals ,Left hand Bat,Left arm Medium fast,Bowler
Phil Salt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmKsMIDrO-KBsaH8CFGtTYndIHRX3m2BO4I8X49YK9pXYHsPqnDDUhCJ9TBJ0&s,Delhi Capitals ,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Ishant Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQosRIDNVvEGdlgpXxE7iHqtvAm-gSle7av4ysnlP8YM0LydToQ9k0pa7cXvY0&s,Delhi Capitals ,Right hand Bat,Right arm Fast medium,Bowler
Prithvi Shaw,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLrH_52qZMHW23i-3-n5j_rziMzsOlm6hEJgXKGOnCdy6WMIuDPcSi3Xs1ww&s,Delhi Capitals ,Right hand Bat,Right arm Offbreak,Opening Batter
Kamlesh Nagarkoti,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6bCbtEFbPgkAsTBl3zALs4jI7ARXI-g-x7R8HYP6KQ-WxyiUEJfd87AAdPA&s,Delhi Capitals ,Right hand Bat,Right arm Fast,Bowler
Rishabh Pant,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNI-3qSBLTWuY9eRiutkazGj7fcpRSr6pmHZAMcal6wQdemY19ibzeHo5VNw&s,Delhi Capitals ,Left hand Bat,,Wicketkeeper Batter
Hardik Pandya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTboYmQI3txfTIECB3HovJ1JHCRSnbFyuUOCCBqLSj0k-OIw9osPcQVlih18Q&s,Gujarat Titans ,Right hand Bat,Right arm Medium fast,Allrounder
Srikar Bharat,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN_E5yh1CmIlHJvwfeAY0a_gbTzUtvHIAvRE-3HX-jh9xBLNsP0GL64LLEFw&s,Gujarat Titans ,Right hand Bat,,Wicketkeeper Batter
Alzarri Joseph,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj_12DcCT_zz77mXj0tLOjz8UU_OJbhQ_p9dguQ-fzcn9YSk3pGt8CkIC40Q&s,Gujarat Titans ,Right hand Bat,Right arm Fast,Bowler
Josh Little,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlNfTHyvYOQ2ILVSvSXGHT8jgo2cc_EmshjL7R7QQDJ06XSNYI-umZO8o5-Q&s,Gujarat Titans ,Right hand Bat,Left arm Fast medium,Bowler
Abhinav Manohar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDZvf2_QfubG1vEO4d7IZvQzCmxHH-LzNc1zXrYWPE8WK74T_pmgHsqfenEh8&s,Gujarat Titans ,Right hand Bat,Legbreak Googly,Batting Allrounder
David Miller,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqFaVxWXQ6G87V1fbLZzqjVmA3T2uXF5rcoNO07-euDK2ovdG2N3KRPZP-lA&s,Gujarat Titans ,Left hand Bat,Right arm Offbreak,Middle order Batter
Mohammed Shami,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuswoX7rU7LNClxPdLK6qA8LUAZGMXvmkwJxCNHGIqZ3aJTdXaSN7v21wAtSc&s,Gujarat Titans ,Right hand Bat,Right arm Fast,Bowler
Darshan Nalkande,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuRRwJjrw0kP9LrHPUIZ9K1Z_utym7YkypizRthkrg6DGDRx10pxJKSUwoFw&s,Gujarat Titans ,Right hand Bat,Right arm Fast medium,Bowler
Noor Ahmad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfTxxmoSc9m6FyHJSczw-_RFE4NgLCE7ktULdhTe2PdbPe3YU-466Y93sUrak&s,Gujarat Titans ,Right hand Bat,Left arm Wrist spin,Bowler
Urvil Patel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA7TP-RN9FoV1pvUeJYRuLPz31wPZW7zufIegJNKO11UhqlL4rcoEn5Jot4Fc&s,Gujarat Titans ,Right hand Bat,,Wicketkeeper Batter
Rashid Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIaPiIEJGDx2tW_L9GI2X1ZsTEwIo3m3vfUHDSZHg5EX5r_kIM8uvgdCRrQg&s,Gujarat Titans ,Right hand Bat,Legbreak Googly,Bowling Allrounder
Wriddhiman Saha,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqfb7VAvhRg22mDk10q87WdXhr_ENKHu8jEEtbx7wG3SjbzYxX9DzRQ6c34A&s,Gujarat Titans ,Right hand Bat,,Wicketkeeper Batter
Ravisrinivasan Sai Kishore,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQDSldFVVcn7i6dClqt4mOkNO7pcTzq1ohyH9RfZ-BnXtLcJFeZneqHjTxcw&s,Gujarat Titans ,Left hand Bat,Slow Left arm Orthodox,Bowler
Sai Sudharsan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMXaAflWWiJvTxZUW2THs6TGyUgN8BS7CKC3Aq0Az9eo1yStr2l29aywlqyA&s,Gujarat Titans ,Left hand Bat,Legbreak,Top order Batter
Pradeep Sangwan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFoNuDLHplHUeowOtpq3m_exbvlDMjx6jXoCs7KZJE3TVEMq65CsUvqMuvQ6E&s,Gujarat Titans ,Right hand Bat,Left arm Medium,Bowler
Dasun Shanaka,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRym3o0RYjCbO3GJbs4WrFnUy3ez8H90ibBIxapDBp4xKPMKyAh9xXp_cjQxr8&s,Gujarat Titans ,Right hand Bat,Right arm Medium,Allrounder
Vijay Shankar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCZNagTqRJgkMC-hUhxitqPEx_aI_AfZveconuNM5hRWOH_O0L2KHsXTGVWA&s,Gujarat Titans ,Right hand Bat,Right arm Medium,Allrounder
Mohit Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-31QdsbgwnVdGOK92_NWAGSsa05T7_rk3ab1HcT2MVydxrgOLRLEWAAHYkg&s,Gujarat Titans ,Right hand Bat,Right arm Medium,Bowler
Shivam Mavi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZ0V1nhnYZdS5VZ1UuR2PDNkVXQfjmJ8f9fg97J2LAsPiyoTdH1bxN7MtbYII&s,Gujarat Titans ,Right hand Bat,Right arm Fast medium,Bowler
Shubman Gill,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSp-vxOYIOilPwfTypVUkAB7v6ADALj646Z4QRkdJy_rE1eQ6Ocg87rO530SA&s,Gujarat Titans ,Right hand Bat,Right arm Offbreak,Opening Batter
Odean Smith,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTszIsRk28m95kDgHaGkrNEqjBGTUra7P254g-sjhSbUDTJHoDEqvMFZpQr6BA&s,Gujarat Titans ,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Rahul Tewatia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSvwC6bGZAjUJZl5Sean0WPJNG0iQpXm9eZo7f05Uh2Uz1k5qzazPjof5-hA&s,Gujarat Titans ,Left hand Bat,Legbreak,Bowling Allrounder
Matthew Wade,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNrvPJn84ojLtzVMYls0Fa75niK6vORm52RSD4vldfUZGOcqQjINVD2NxEXw&s,Gujarat Titans ,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Jayant Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaKDRTBeWGZuRPNgKUca59jHyDqCi7l8gTG_v5I3hkKAPDFLN4-8Fu0O4pHnc&s,Gujarat Titans ,Right hand Bat,Right arm Offbreak,Bowler
Yash Dayal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkhdpC5LWcd8rH4YEzeORAhL3oOKzsARysEOwCUwlRE5XXg903yvX8a1jqqA&s,Gujarat Titans ,Right hand Bat,Left arm Medium fast,Bowler
Kane Williamson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsYTTrY4lHb0cX0TsGRPga2KfCnjnFNPcG94RPXDkZUD8Zf2Tg4ChXxNnn1HM&s,Gujarat Titans ,Right hand Bat,Right arm Offbreak,Top order Batter
Nitish Rana,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVcV_ZTKHQ40pyn5ITsfSndrC6WsMUC5AYbwShc7lMXS4JavsAedXRKFx7MFE&s,Kolkata Knight Riders ,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
